GeoFips,GeoName,LineCode,Description,gdp2018,gdp2017,gdp2016,gdp2015,gdp2014,gdp2013,gdp2012,gdp2011,gdp2010,gdp2009,gdp2008,gdp2007
13031,"Bulloch, GA",51,      Finance and insurance,141325,135074,134167,133655,139044,124221,118353,121966,131654,120027,128528,106663
13031,"Bulloch, GA",56,      Real estate and rental and leasing,433888,403352,359342,358509,332006,320599,323375,309082,298679,292935,276019,303008
13031,"Bulloch, GA",59,    Professional and business services,(D),(D),124949,125585,116329,115681,99584,91370,81723,73595,75868,(D)
13031,"Bulloch, GA",60,"      Professional, scientific, and technical services",(D),(D),(D),55383,47193,44633,42657,(D),40896,43226,44178,40769
13031,"Bulloch, GA",64,      Management of companies and enterprises,(D),(D),(D),10669,10242,9080,7791,(D),4690,1030,(D),(D)
13031,"Bulloch, GA",65,      Administrative and support and waste management and remediation services,53763,51621,51820,59534,58894,61968,49136,45998,36137,29338,(D),(D)
13031,"Bulloch, GA",68,"    Educational services, health care, and social assistance",208274,215948,207865,188416,175862,171744,163688,160199,159539,157179,140942,132736
13031,"Bulloch, GA",69,      Educational services,8904,8822,9067,8413,8155,7626,7620,7866,8670,8540,7919,7700
13031,"Bulloch, GA",70,      Health care and social assistance,199370,207126,198798,180003,167707,164118,156068,152333,150868,148639,133024,125036
13031,"Bulloch, GA",75,"    Arts, entertainment, recreation, accommodation, and food services",102238,97744,98831,96318,86305,74736,73848,70204,65707,65527,60989,59514
13031,"Bulloch, GA",76,"      Arts, entertainment, and recreation",7359,6783,6777,6209,6628,6130,7074,7224,5069,4037,3959,3507
13031,"Bulloch, GA",79,      Accommodation and food services,94879,90961,92054,90108,79677,68607,66774,62980,60639,61490,57031,56007
13031,"Bulloch, GA",82,    Other services (except government and government enterprises),62603,58518,56168,54032,50213,47576,47190,46582,46187,45649,45430,45551
13031,"Bulloch, GA",83,Government and government enterprises,590833,568520,556443,541528,520739,496675,472906,449273,434698,410441,382289,380668
13031,"Bulloch, GA",,Addenda:,,,,,,,,,,,,
13031,"Bulloch, GA",87,Natural resources and mining,3388,3225,3559,(D),(D),(D),(D),46076,(D),(D),23291,33505
13031,"Bulloch, GA",88,Trade,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13031,"Bulloch, GA",89,Transportation and utilities,214709,222934,(D),(D),(D),(D),(D),(D),(D),(D),(D),69499
